id,keyword,location,text,target,text_clean,text_no_stop,text_model,keyword_decoded,char_count,word_count,url_count,mention_count,hashtag_count,number_count
6094,hellfire,"Jubail IC, Saudi Arabia.",#Allah describes piling up #wealth thinking it would last #forever as the description of the people of #Hellfire in Surah Humaza. #Reflect,0,allah describes piling up wealth thinking it would last forever as the description of the people of hellfire in surah humaza reflect,allah describes piling wealth thinking forever description people hellfire surah humaza reflect,allah describes piling up wealth thinking it would last forever as the description of the people of hellfire in surah humaza reflect,hellfire,138,22,0,0,5,0
6097,hellfire,,The Prophet (peace be upon him) said 'Save yourself from Hellfire even if it is by giving half a date in charity.',1,the prophet peace be upon him said save yourself from hellfire even if it is by giving half a date in charity,prophet peace said save hellfire giving half date charity,the prophet peace be upon him said save yourself from hellfire even if it is by giving half a date in charity,hellfire,114,22,0,0,0,0
6105,hellfire,?????? ??? ?????? ????????,#Allah describes piling up #wealth thinking it would last #forever as the description of the people of #Hellfire in Surah Humaza. #Reflect,0,allah describes piling up wealth thinking it would last forever as the description of the people of hellfire in surah humaza reflect,allah describes piling wealth thinking forever description people hellfire surah humaza reflect,allah describes piling up wealth thinking it would last forever as the description of the people of hellfire in surah humaza reflect,hellfire,138,22,0,0,5,0
6111,hellfire,,The Prophet (peace be upon him) said 'Save yourself from Hellfire even if it is by giving half a date in charity.',0,the prophet peace be upon him said save yourself from hellfire even if it is by giving half a date in charity,prophet peace said save hellfire giving half date charity,the prophet peace be upon him said save yourself from hellfire even if it is by giving half a date in charity,hellfire,114,22,0,0,0,0
6112,hellfire,,Hellfire is surrounded by desires so be careful and donÛªt let your desires control you! #Afterlife,1,hellfire is surrounded by desires so be careful and don t let your desires control you afterlife,hellfire surrounded desires careful don t let desires control afterlife,hellfire is surrounded by desires so be careful and don t let your desires control you afterlife,hellfire,100,16,0,0,1,0
6113,hellfire,,Hellfire! We donÛªt even want to think about it or mention it so letÛªs not do anything that leads to it #islam!,0,hellfire we don t even want to think about it or mention it so let s not do anything that leads to it islam,hellfire don t want think mention let s not leads islam,hellfire we don t even want to think about it or mention it so let s not do anything that leads to it islam,hellfire,114,22,0,0,1,0
6118,hellfire,,The Prophet (peace be upon him) said 'Save yourself from Hellfire even if it is by giving half a date in charity.',0,the prophet peace be upon him said save yourself from hellfire even if it is by giving half a date in charity,prophet peace said save hellfire giving half date charity,the prophet peace be upon him said save yourself from hellfire even if it is by giving half a date in charity,hellfire,114,22,0,0,0,0
6123,hellfire,?????? ???? ??????,#Allah describes piling up #wealth thinking it would last #forever as the description of the people of #Hellfire in Surah Humaza. #Reflect,1,allah describes piling up wealth thinking it would last forever as the description of the people of hellfire in surah humaza reflect,allah describes piling wealth thinking forever description people hellfire surah humaza reflect,allah describes piling up wealth thinking it would last forever as the description of the people of hellfire in surah humaza reflect,hellfire,138,22,0,0,5,0
6125,hellfire,,Hellfire is surrounded by desires so be careful and donÛªt let your desires control you! #Afterlife,0,hellfire is surrounded by desires so be careful and don t let your desires control you afterlife,hellfire surrounded desires careful don t let desires control afterlife,hellfire is surrounded by desires so be careful and don t let your desires control you afterlife,hellfire,100,16,0,0,1,0
6132,hellfire,,The Prophet (peace be upon him) said 'Save yourself from Hellfire even if it is by giving half a date in charity.',1,the prophet peace be upon him said save yourself from hellfire even if it is by giving half a date in charity,prophet peace said save hellfire giving half date charity,the prophet peace be upon him said save yourself from hellfire even if it is by giving half a date in charity,hellfire,114,22,0,0,0,0
6134,hellfire,Riyadh '),Hellfire! We donÛªt even want to think about it or mention it so letÛªs not do anything that leads to it #islam!,1,hellfire we don t even want to think about it or mention it so let s not do anything that leads to it islam,hellfire don t want think mention let s not leads islam,hellfire we don t even want to think about it or mention it so let s not do anything that leads to it islam,hellfire,114,22,0,0,1,0
6220,hijacker,worldwide,RT NotExplained: The only known image of infamous hijacker D.B. Cooper. http://t.co/JlzK2HdeTG,0,rt notexplained the only known image of infamous hijacker d b cooper,rt notexplained known image infamous hijacker d b cooper,rt notexplained the only known image of infamous hijacker d b cooper,hijacker,94,12,1,0,0,0
6223,hijacker,worldwide,RT NotExplained: The only known image of infamous hijacker D.B. Cooper. http://t.co/JlzK2HdeTG,1,rt notexplained the only known image of infamous hijacker d b cooper,rt notexplained known image infamous hijacker d b cooper,rt notexplained the only known image of infamous hijacker d b cooper,hijacker,94,12,1,0,0,0
6537,injury,,CLEARED:incident with injury:I-495  inner loop Exit 31 - MD 97/Georgia Ave Silver Spring,1,cleared incident with injury i 495 inner loop exit 31 md 97 georgia ave silver spring,cleared incident injury 495 inner loop exit 31 md 97 georgia ave silver spring,cleared incident with injury i 495 inner loop exit 31 md 97 georgia ave silver spring,injury,88,13,0,0,0,3
6548,injury,,CLEARED:incident with injury:I-495  inner loop Exit 31 - MD 97/Georgia Ave Silver Spring,1,cleared incident with injury i 495 inner loop exit 31 md 97 georgia ave silver spring,cleared incident injury 495 inner loop exit 31 md 97 georgia ave silver spring,cleared incident with injury i 495 inner loop exit 31 md 97 georgia ave silver spring,injury,88,13,0,0,0,3
6566,injury,,CLEARED:incident with injury:I-495  inner loop Exit 31 - MD 97/Georgia Ave Silver Spring,0,cleared incident with injury i 495 inner loop exit 31 md 97 georgia ave silver spring,cleared incident injury 495 inner loop exit 31 md 97 georgia ave silver spring,cleared incident with injury i 495 inner loop exit 31 md 97 georgia ave silver spring,injury,88,13,0,0,0,3
8018,refugees,,wowo--=== 12000 Nigerian refugees repatriated from Cameroon,1,wowo 12000 nigerian refugees repatriated from cameroon,wowo 12000 nigerian refugees repatriated cameroon,wowo 12000 nigerian refugees repatriated from cameroon,refugees,59,7,0,0,0,1
8044,refugees,,wowo--=== 12000 Nigerian refugees repatriated from Cameroon,0,wowo 12000 nigerian refugees repatriated from cameroon,wowo 12000 nigerian refugees repatriated cameroon,wowo 12000 nigerian refugees repatriated from cameroon,refugees,59,7,0,0,0,1
8698,sinking,Every Where in the World,that horrible sinking feeling when youÛªve been at home on your phone for a while and you realise its been on 3G this whole time,1,that horrible sinking feeling when you ve been at home on your phone for a while and you realise its been on 3g this whole time,horrible sinking feeling ve home phone realise 3g time,that horrible sinking feeling when you ve been at home on your phone for a while and you realise its been on 3g this whole time,sinking,129,25,0,0,0,0
8702,sinking,,that horrible sinking feeling when youÛªve been at home on your phone for a while and you realise its been on 3G this whole time,0,that horrible sinking feeling when you ve been at home on your phone for a while and you realise its been on 3g this whole time,horrible sinking feeling ve home phone realise 3g time,that horrible sinking feeling when you ve been at home on your phone for a while and you realise its been on 3g this whole time,sinking,129,25,0,0,0,0
8714,sinking,,that horrible sinking feeling when youÛªve been at home on your phone for a while and you realise its been on 3G this whole time,0,that horrible sinking feeling when you ve been at home on your phone for a while and you realise its been on 3g this whole time,horrible sinking feeling ve home phone realise 3g time,that horrible sinking feeling when you ve been at home on your phone for a while and you realise its been on 3g this whole time,sinking,129,25,0,0,0,0
8735,sinking,,That horrible sinking feeling when youÛªve been at home on your phone for a while and you realise its been on 3G this whole time,1,that horrible sinking feeling when you ve been at home on your phone for a while and you realise its been on 3g this whole time,horrible sinking feeling ve home phone realise 3g time,that horrible sinking feeling when you ve been at home on your phone for a while and you realise its been on 3g this whole time,sinking,129,25,0,0,0,0
8739,sinking,MA,that horrible sinking feeling when youÛªve been at home on your phone for a while and you realise its been on 3G this whole time,1,that horrible sinking feeling when you ve been at home on your phone for a while and you realise its been on 3g this whole time,horrible sinking feeling ve home phone realise 3g time,that horrible sinking feeling when you ve been at home on your phone for a while and you realise its been on 3g this whole time,sinking,129,25,0,0,0,0
9470,terrorism,Jeddah_Saudi Arabia.,In #islam saving a person is equal in reward to saving all humans! Islam is the opposite of terrorism!,0,in islam saving a person is equal in reward to saving all humans islam is the opposite of terrorism,islam saving person equal reward saving humans islam opposite terrorism,in islam saving a person is equal in reward to saving all humans islam is the opposite of terrorism,terrorism,102,19,0,0,1,0
9472,terrorism,Riyadh,In #islam saving a person is equal in reward to saving all humans! Islam is the opposite of terrorism!,1,in islam saving a person is equal in reward to saving all humans islam is the opposite of terrorism,islam saving person equal reward saving humans islam opposite terrorism,in islam saving a person is equal in reward to saving all humans islam is the opposite of terrorism,terrorism,102,19,0,0,1,0
