text_preview,n_copies,targets,contradictory
I'm mentally preparing myself for a bomb ass school year if it's not I'm burning,2,[0],False
In #islam saving a person is equal in reward to saving all humans! Islam is the ,2,"[0, 1]",True
incident with injury:I-495  inner loop Exit 31 - MD 97/Georgia Ave Silver Spring,2,[1],False
Japan on Thursday marks the 70th anniversary of the atomic bombing of Hiroshima ,2,[1],False
like for the music video I want some real action shit like burning buildings and,2,"[0, 1]",True
M1.94 [01:04 UTC]?5km S of Volcano Hawaii. http://t.co/zDtoyd8EbJ,2,[1],False
Madhya Pradesh Train Derailment: Village Youth Saved Many Lives,5,[1],False
Madhya Pradesh Train Derailment: Village Youth Saved Many Lives: A group of vill,3,[1],False
Mmmmmm I'm burning.... I'm burning buildings I'm building.... Oooooohhhh oooh oo,2,"[0, 1]",True
New evacuation ordered for 25 homes in danger of Hwy. 8 fire near Roosevelt Wash,2,[1],False
Police investigating after an e-bike collided with a car in Little Portugal. E-b,2,[1],False
RT AbbsWinston: #Zionist #Terrorist kidnapped 15 #Palestinians in overnight terr,2,[1],False
RT NotExplained: The only known image of infamous hijacker D.B. Cooper. http://t,2,"[0, 1]",True
Schools in Western Uganda still Burning down Buildings during Strikes....Strikes,2,[1],False
Stuart Broad Takes Eight Before Joe Root Runs Riot Against Aussies,2,[0],False
Swansea Û÷plot hijack transfer move for Southampton target Virgil van DijkÛª h,2,[1],False
"that exploded &amp; brought about the
beginning of universe matches what's
menti",2,[0],False
that horrible sinking feeling when youÛªve been at home on your phone for a whi,5,"[0, 1]",True
The Prophet (peace be upon him) said 'Save yourself from Hellfire even if it is ,6,"[0, 1]",True
To fight bioterrorism sir.,4,"[0, 1]",True
Top insurer blasts lack of Australian Govt action on disaster mitigation http://,2,[1],False
Traffic Collision - No Injury: I5 S at I5 S 43rd Ave offramp South Sac http://t.,2,[1],False
UD: Rescue (Structural Collapse) - Scott Road @ Ypres Road York (14 Trucks),2,[1],False
USGS reports a M1.94 #earthquake 5km S of Volcano Hawaii on 8/6/15 @ 1:04:01 UTC,2,[1],False
VIDEO: 'We're picking up bodies from water': Rescuers are searching for hundreds,4,[1],False
Warne shocked over Australia's epic collapse at Trent Bridge: Johannesburg Aug 0,2,[1],False
Who is bringing the tornadoes and floods. Who is bringing the climate change. Go,3,"[0, 1]",True
wowo--=== 12000 Nigerian refugees repatriated from Cameroon,2,"[0, 1]",True
Wreckage 'Conclusively Confirmed' as From MH370: Malaysia PM,3,[1],False
